Speaker,activity,sentenceID,session,rep,name,frameTime,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,soundingPercentage,silencePercentage,silencesPerSecond,silencesMean,Type,score_lourdes
S05,Dinamica12.4,S644,0,1,7-11-2017_12-35-12-904_Dinamica12.4_1,0,30.14085,0.081252,27.69257,29.95019,32.06533,4.372761,23.18638,5.311503,50.6622,42.17324,2.509312,0.414375,1.334354,2.591355,3.530415,2.196061,14.7549,9.562018,11.10095,4.007919,1.794925,0.683132,29.87039,0.256821,-8.318874,-1.30132,12.18395,1.373119,-8.482609,-1.928949,0.022827,1.139586,1.068358,0.679362,5.963229,0.652471,1.847624,3.937842,19.4816,0.256933,389.3583,0.27049,1083.418,0.131603,4.036347,1.606516,1366.677,0.12922,741.056,0.275973,-4.545161,-2.457756,2367.632,0.064492,690.2137,0.417325,-13.20211,-0.330004,-8.272907,-0.767245,20.92084,0.243652,0.082617,0.353556,-0.018521,-0.707271,1.836758,0.68283,29.75564,0.260981,-7.997528,-1.359837,11.83195,1.423474,-9.126783,-1.782319,0,0,0,0,0,3.977273,0.588235,1.69,0,0,0,-14.81475,0.83,0.17,0.94,0.18,B,B
S05,Dinamica9.1,S645,0,1,7-11-2017_12-36-23-757_Dinamica9.1_1,0,23.90869,0.251278,17.53391,25.46041,29.81404,12.28013,166.8978,131.6658,49.07327,40.45849,1.263152,0.466732,0.535709,1.413029,1.782721,1.247012,12.30298,9.821462,10.42578,7.075053,0.860585,0.530771,29.07302,0.219692,1.762934,4.786304,18.83109,0.709756,-2.163773,-6.010657,0.060863,1.58797,1.496755,0.736645,2.04462,2.529267,-0.750546,-8.915292,17.0192,0.395102,406.74,0.287232,1102.2,0.121028,-14.69024,-4.076213,1429.511,0.13577,845.7154,0.384623,-30.95188,-1.763276,2409.315,0.063054,776.9062,0.355093,-31.43479,-1.726337,-14.33261,-0.391176,20.37679,0.27895,0.074587,0.34278,-0.028608,-0.35974,0.91081,0.509647,29.86874,0.183291,2.738826,2.790669,19.07978,0.729663,-2.011842,-6.352724,-2.487757,8.864304,0.04093,-0.012014,0.630909,3.243243,1.675978,0.526667,0.119536,0.08,0.01,-22.79517,0.58,0.42,1.23,0.34,B,M
S05,Dinamica9.1,S646,0,2,7-11-2017_12-36-44-253_Dinamica9.1_2,0,21.61916,0.301143,15.04015,19.78143,28.35332,13.31316,223.8192,301.3578,207.0687,185.8677,0.767582,0.391585,0.544396,0.680297,0.987156,0.44276,6.154741,3.273905,3.807018,2.132871,0.570025,0.827032,22.52945,0.483887,-2.645015,-4.544505,31.51018,0.428244,-1.405839,-7.125825,0.153394,0.957622,1.576531,0.744259,-1.575465,-1.953206,-7.838367,-3.296039,4.697135,5.539093,450.5319,0.502832,1043.728,0.104925,-49.66538,-1.729497,1522.478,0.160169,609.7754,0.347109,-62.02355,-1.252032,2482.784,0.087573,669.2399,0.249204,-58.34821,-1.361181,-11.93627,-0.595671,17.32134,0.526353,0.050475,0.627603,-0.013283,-0.627645,0.686109,0.722022,26.12829,0.24559,-0.079398,-136.687,36.59604,0.273755,-1.002104,-9.493357,-0.191715,6.702481,0.032841,-0.00532,0.286777,2.840909,2.339181,0.3125,0.280925,0.123333,0.073182,-28.91635,1,0,0,0,B,B
S05,Dinamica9.3,S647,0,1,7-11-2017_12-37-29-430_Dinamica9.3_1,0,26.41284,0.225241,18.99158,28.92712,31.65824,12.66666,196.9006,106.7036,88.25111,32.04116,1.281584,0.497105,0.788128,1.027759,1.847908,1.059781,8.722102,2.579666,5.90704,3.546723,0.913667,0.62626,27.3266,0.390259,-1.952752,-5.765107,23.12264,0.595512,-6.794665,-1.643371,0.090052,1.327926,1.407532,0.66565,1.414703,4.004237,0.33325,21.8484,16.93127,0.569751,423.8691,0.434976,1068.596,0.20375,-25.92108,-2.509226,1478.927,0.163987,648.5493,0.299407,-36.33115,-1.625166,2505.171,0.08076,732.2953,0.292328,-39.03766,-1.476954,-11.8982,-0.565521,20.28668,0.393534,0.07982,0.30952,-0.031086,-0.445376,1.0187,0.565657,29.63036,0.290982,-0.684162,-15.01403,23.46003,0.6022,-6.762416,-1.769139,-2.890208,9.273845,0.043396,-0.017046,0.443339,4.516129,3.333333,0.248,0.224446,0.032,0.011662,-22.05643,0.86,0.14,1.1,0.13,B,B
S05,Dinamica9.4,S648,0,1,7-11-2017_12-37-45-370_Dinamica9.4_1,0,28.40322,0.16637,24.16661,29.03456,33.14256,8.975956,65.93764,19.50968,32.69998,11.98035,1.788274,0.553031,0.901838,1.306983,3.079854,2.178016,5.88722,2.978745,7.25897,2.017825,1.362626,0.788792,27.87821,0.334636,-6.125847,-1.738035,7.80667,2.484077,-14.34956,-0.981642,0.072784,1.223207,0.930297,0.661797,2.592086,2.308656,1.563171,5.280965,19.21298,0.624094,396.077,0.335874,1215.994,0.103581,-10.27542,-5.273643,1353.187,0.158371,867.483,0.240503,-16.61014,-3.138095,2393.014,0.098799,621.0073,0.438525,-28.41156,-1.685281,-7.752675,-1.153874,21.9977,0.285928,0.084205,0.431646,-0.013113,-0.750268,1.534843,0.719862,30.95045,0.21684,-6.533734,-1.539957,3.112316,5.537234,-14.92153,-1.001009,4.871222,2.627769,0.034021,-0.002621,0.607322,3.448276,1.265823,0.72,0,0.05,0,-18.74321,0.88,0.12,1,0.12,B,B
S05,Dinamica15.1,S649,0,1,7-11-2017_12-39-29-293_Dinamica15.1_1,0,27.88617,0.11609,25.77428,28.71518,30.33625,4.561964,280.8552,196.379,34.98679,23.94125,1.121325,0.474008,0.708201,1.056542,1.452388,0.744187,13.73635,7.325648,3.944468,3.752194,0.670198,0.678437,25.63304,0.329783,0.498128,18.81952,19.88307,0.732366,1.445537,7.981833,0.06665,1.594877,1.002486,0.961313,4.212551,1.059668,3.050082,2.309133,19.95511,0.334555,521.4551,0.502211,1153.91,0.142769,-18.49927,-2.996345,1557.783,0.192375,772.5478,0.261615,-29.81394,-1.700901,2548.022,0.105276,763.9633,0.302482,-31.82866,-1.568419,-11.31188,-0.523752,19.39614,0.340004,0.069743,0.466192,-0.010676,-1.088678,0.731305,0.623428,26.66499,0.278847,0.13017,75.81208,20.61154,0.726208,1.930325,6.022944,-6.790537,16.16219,0.040652,-0.009155,0.258223,3.468208,2.39521,0.3675,0.11344,0.06,0.02,-24.64784,1,0,0,0,B,M
S01,Dinamica9.3,S65,2,1,24-11-2017_12-24-5-867_Dinamica9.3_1,0,34.52551,0.071068,33.33967,34.61367,35.98217,2.642506,487.2714,611.1387,25.09575,20.92327,0.735771,0.477498,0.414574,0.655889,1.080641,0.666066,7.342007,3.870677,5.02045,3.217047,0.302719,0.584996,22.55573,0.44303,-5.546943,-1.626615,16.7204,0.629677,-16.95499,-0.866258,0.025492,0.876637,1.238843,0.712885,5.630572,0.769099,11.06637,0.692745,21.08009,0.421534,563.9042,0.500438,1252.232,0.246686,-25.75203,-2.069694,1621.849,0.15051,950.7439,0.361494,-32.21984,-1.342047,2572.431,0.12443,1035.593,0.461955,-34.0318,-1.276983,-10.62904,-0.490412,18.22725,0.408773,0.083174,0.345403,-0.014827,-0.726811,0.335978,0.502602,24.45897,0.352389,-5.545574,-1.653334,17.68691,0.619155,-20.22272,-0.637129,-1.258375,8.053129,0.037799,0.01099,0.101248,3.289474,2.097902,0.433333,0.436679,0.07,0,-32.01451,1,0,0,0,B,B
S05,Dinamica15.1.1,S652,0,1,7-11-2017_12-42-55-692_Dinamica15.1.1_1,0,18.63079,0.296985,14.67278,16.6338,21.96987,7.297091,151.7876,78.62769,251.8663,319.3157,0.529939,0.417391,0.33772,0.467307,0.766457,0.428736,3.922612,1.736422,2.474123,1.217389,0.366838,0.792869,25.07572,0.263396,-1.290178,-6.690609,24.25104,0.479956,4.227109,1.826712,0.154137,0.922213,1.540723,0.599893,-1.568954,-1.846268,-11.26577,-2.406438,5.108191,6.465997,386.0724,0.313169,1138.742,0.0987,-43.87893,-2.062585,1436.105,0.11137,691.6902,0.141069,-55.13491,-1.477869,2492.265,0.05361,642.1771,0.211263,-56.19544,-1.443448,-14.14803,-0.401587,22.06416,0.233046,0.060954,0.367728,-0.006187,-1.463646,0.476291,0.6074,27.53096,0.203206,1.98194,3.136801,28.45488,0.315516,3.837915,2.240828,-5.559342,14.61446,0.025418,0.002881,0.123773,4.964539,2.985075,0.2375,0.176688,0.0775,0.065336,-31.90411,0.88,0.12,0.62,0.2,B,M
S05,Dinamica15.1.1,S653,0,2,7-11-2017_12-43-20-861_Dinamica15.1.1_2,0,27.37613,0.215036,22.96133,28.16367,32.64447,9.683138,322.4493,340.2879,125.5637,74.30846,1.109611,0.397385,0.638717,1.172175,1.451263,0.812546,20.57875,19.42594,9.281755,10.25211,0.791138,0.80659,26.34341,0.334589,-3.094193,-3.205477,14.12868,0.898514,-0.444573,-19.61134,0.058008,1.266112,1.888891,0.774934,1.997114,3.065364,0.724683,8.550641,17.3451,0.580432,405.5091,0.245691,1148.245,0.139733,-26.79507,-2.615274,1450.885,0.08492,804.9897,0.301595,-40.14207,-1.545358,2406.463,0.048949,870.1609,0.30982,-41.33479,-1.487057,-12.28448,-0.511034,20.24858,0.289712,0.082367,0.471129,-0.029025,-0.510885,0.827074,0.804277,28.29207,0.157586,-2.095658,-4.841595,14.68839,0.777748,-1.070563,-7.470482,-5.516577,13.28005,0.014237,-0.008762,0.756974,4.093567,3.680982,0.218333,0.160978,0.038,0.014697,-25.37349,0.47,0.53,0.82,0.64,B,M
S05,Dinamica15.1.2,S654,0,2,7-11-2017_12-43-43-248_Dinamica15.1.2_2,0,30.37165,0.25128,26.51721,29.13011,34.41911,7.901901,305.3518,172.2674,246.8873,192.8634,1.612494,0.54489,0.903621,1.408587,2.206117,1.302496,28.36702,11.4715,7.023959,8.842379,1.518082,0.913211,20.585,0.377543,-3.683283,-3.609959,25.84399,0.522306,-12.10171,-0.67673,0.105718,1.598314,1.572037,0.699581,2.647088,1.476136,3.978086,2.867895,11.98931,0.943828,452.8784,0.471569,1038.12,0.157511,-40.57084,-1.825425,1608.872,0.1261,538.1075,0.630556,-46.99403,-1.294774,2507.503,0.093397,874.648,0.363934,-42.68964,-1.459453,-9.444851,-0.482994,14.90619,0.360277,0.073682,0.381915,-0.026877,-0.426295,1.715052,0.874363,19.95267,0.368736,-2.899297,-4.789256,28.41455,0.447204,-13.02167,-0.659226,-7.480318,12.36502,0.046174,-0.021324,0.568403,4.032258,5.357143,0.145,0.085196,0.0325,0.008292,-19.8271,1,0,0,0,B,B
